ReadGroup	Position	EventType	Scaling	Observations	firstDerivative	SecondDerivative	F	hasConverged
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	166	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	167	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	168	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	169	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	170	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	171	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	172	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	173	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	174	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	175	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	176	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	177	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	178	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	179	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	180	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	181	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	182	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	183	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	184	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	185	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	186	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	187	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	188	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	189	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	190	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	191	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	192	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	193	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	194	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	195	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	196	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	197	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	198	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	199	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	200	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	1	M	1.26727	6.68799	0	0	6.4104e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	2	M	1.54465	6.68582	0	0	1.0505e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	3	M	0.156909	6.68856	0	0	7.15178e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	4	M	0.881502	6.68843	0	0	8.02717e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	5	M	0.583765	6.68847	0	0	1.9049e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	6	M	0.536796	6.68866	0	0	2.2427e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	7	M	0.510826	6.68882	0	0	4.65435e-08	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	8	M	0.661271	6.68886	0	0	1.84922e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	9	M	0.924591	6.68895	0	0	5.90055e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	10	M	0.585898	6.68905	0	0	1.34912e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	11	M	0.936923	6.68912	0	0	8.39766e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	12	M	0.561081	6.68931	0	0	8.73751e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	13	M	0.64246	6.68936	0	0	5.1237e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	14	M	0.75637	6.68953	0	0	2.0766e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	15	M	0.676014	6.68959	0	0	2.28608e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	16	M	0.899739	6.6897	0	0	8.60941e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	17	M	0.919199	6.68977	0	0	6.09541e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	18	M	0.968888	6.6898	0	0	1.79426e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	19	M	0.984365	6.68988	0	0	7.33143e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	20	M	0.92626	6.69019	0	0	6.06858e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	21	M	0.644803	6.6903	0	0	3.48413e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	22	M	0.694466	6.6905	0	0	9.31899e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	23	M	0.804838	6.69058	0	0	1.19174e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	24	M	1.78229	6.69002	0	0	7.61886e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	25	M	0.292254	6.69079	0	0	7.55435e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	26	M	0.636913	6.69089	0	0	1.59692e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	27	M	0.678093	6.69092	0	0	6.57515e-08	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	28	M	0.71354	6.69096	0	0	7.54584e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	29	M	0.638418	6.69107	0	0	8.98424e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	30	M	0.696276	6.69119	0	0	9.27827e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	31	M	0.704807	6.69125	0	0	8.87661e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	32	M	0.710653	6.69135	0	0	8.39124e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	33	M	0.582906	6.69138	0	0	9.7317e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	34	M	0.660973	6.69153	0	0	7.23082e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	35	M	0.712535	6.69171	0	0	1.99151e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	36	M	0.755207	6.69174	0	0	3.82845e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	37	M	0.618266	6.69188	0	0	7.41188e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	38	M	1.13389	6.69195	0	0	9.77062e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	39	M	0.770562	6.692	0	0	3.03106e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	40	M	1.27607	6.69199	0	0	2.13382e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	41	M	1.041	6.69206	0	0	2.24587e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	42	M	0.749216	6.69213	0	0	5.55928e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	43	M	1.78009	6.69217	0	0	9.36136e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	44	M	1.40493	6.69217	0	0	6.13941e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	45	M	0.636013	6.69223	0	0	5.26315e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	46	M	1.07679	6.69233	0	0	5.26205e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	47	M	0.620715	6.69238	0	0	8.76488e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	48	M	0.631013	6.69235	0	0	6.15491e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	49	M	1.0331	6.69234	0	0	1.37903e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	50	M	1.05454	6.69237	0	0	3.06242e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	51	M	1.03604	6.69249	0	0	2.06033e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	52	M	0.73485	6.69252	0	0	7.61123e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	53	M	0.831202	6.69257	0	0	1.18143e-06	1
